latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness,cluster_label
-27.8797,-65.17558,333.3,0.57,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,301.2,24.51,D,333.3,0
-27.852,-55.67153,329.67,0.66,0.73,2025-09-06,1828,N,VIIRS,60,2.0NRT,288.54,3.91,D,329.67,0
-27.84861,-62.74989,343.41,0.52,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,303.41,12.64,D,343.41,3
-27.84773,-55.84057,325.32,0.64,0.72,2025-09-06,1828,N,VIIRS,60,2.0NRT,287.67,2.59,D,325.32,0
-27.84561,-63.29971,336.41,0.48,0.48,2025-09-06,1828,N,VIIRS,60,2.0NRT,301.17,8.22,D,336.41,0
-27.84517,-62.75637,330.65,0.52,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,304.64,10.83,D,330.65,0
-27.84405,-62.75112,367.0,0.52,0.5,2025-09-06,1828,N,VIIRS,80,2.0NRT,307.13,12.64,D,367.0,0
-27.83949,-62.75233,330.59,0.52,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,304.75,6.62,D,330.59,0
-27.80313,-65.12944,339.27,0.57,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,303.69,29.12,D,339.27,8
-27.72698,-62.59111,341.76,0.53,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,301.4,14.61,D,341.76,0
-27.7244,-62.58898,355.43,0.53,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,306.36,18.11,D,355.43,0
-27.72237,-62.59235,339.8,0.53,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,301.88,14.61,D,339.8,0
-27.72119,-62.58696,340.8,0.53,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,299.81,14.61,D,340.8,0
-27.71979,-62.59024,340.15,0.53,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.9,18.11,D,340.15,0
-27.71424,-65.34039,344.19,0.56,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,306.63,6.17,D,344.19,3
-27.71172,-62.57526,337.6,0.53,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.71,8.35,D,337.6,0
-27.71056,-62.56985,340.78,0.53,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,300.67,8.32,D,340.78,0
-27.7094,-62.56443,338.99,0.53,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,298.04,8.32,D,338.99,3
-27.70709,-62.55359,350.43,0.53,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,304.31,46.89,D,350.43,3
-27.70593,-62.54815,367.0,0.53,0.5,2025-09-06,1828,N,VIIRS,80,2.0NRT,334.63,195.48,D,367.0,0
-27.70477,-62.54273,367.0,0.53,0.5,2025-09-06,1828,N,VIIRS,80,2.0NRT,345.11,195.48,D,367.0,0
-27.70361,-62.53729,342.63,0.54,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,303.63,53.61,D,342.63,0
-27.70246,-62.55483,344.83,0.53,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,298.53,46.89,D,344.83,0
-27.70014,-62.54397,367.0,0.53,0.5,2025-09-06,1828,N,VIIRS,80,2.0NRT,329.99,195.48,D,367.0,3
-27.69897,-62.53854,344.98,0.54,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,311.25,53.61,D,344.98,3
-27.67745,-65.53223,340.13,0.55,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,295.74,8.89,D,340.13,0
-27.67493,-65.53425,367.0,0.55,0.43,2025-09-06,1828,N,VIIRS,80,2.0NRT,336.33,103.64,D,367.0,0
-27.67387,-65.52866,341.14,0.55,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,304.15,59.54,D,341.14,0
-27.67354,-65.53316,367.0,0.55,0.43,2025-09-06,1828,N,VIIRS,80,2.0NRT,344.87,111.39,D,367.0,0
-27.67122,-61.16113,346.87,0.32,0.55,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.92,3.54,D,346.87,0
-27.67048,-61.15785,349.2,0.32,0.55,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.69,3.54,D,349.2,3
-27.66996,-65.52958,338.84,0.55,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,304.22,42.93,D,338.84,0
-27.66963,-65.53407,354.59,0.55,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,310.07,111.39,D,354.59,3
-27.6495,-65.09267,344.02,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,302.68,9.57,D,344.02,3
-27.64472,-65.08971,341.36,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,300.93,36.04,D,341.36,3
-27.56969,-65.57387,336.63,0.55,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,302.33,4.11,D,336.63,0
-27.5591,-65.14651,340.02,0.38,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,297.52,4.21,D,340.02,3
-27.5551,-65.14748,344.45,0.38,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,313.49,111.42,D,344.45,8
-27.55205,-65.13186,348.76,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,299.44,9.38,D,348.76,8
-27.55052,-65.12404,344.38,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,301.96,4.71,D,344.38,8
-27.5205,-59.39303,335.19,0.41,0.61,2025-09-06,1828,N,VIIRS,60,2.0NRT,290.6,2.36,D,335.19,3
-27.49368,-59.35594,345.38,0.41,0.61,2025-09-06,1828,N,VIIRS,60,2.0NRT,291.63,3.92,D,345.38,3
-27.46481,-64.60182,340.63,0.41,0.45,2025-09-06,1828,N,VIIRS,60,2.0NRT,303.37,7.69,D,340.63,0
-27.46397,-64.59762,340.31,0.41,0.45,2025-09-06,1828,N,VIIRS,60,2.0NRT,303.17,7.69,D,340.31,3
